"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","tv_S","ooh_S","print_S","facebook_S","search_S","cluster","top_sol"
"66","3_124_11",0.759326036472203,0.548254796653388,0.567066552844195,0.289860705736346,0.058887551734512,0.841849208277797,0,0.631235139219062,0.763530502442269,0.719765805945481,1,FALSE
"67","3_124_15",0.921898432784259,0.261363208460349,0.583280157493027,0.214372404618086,0.0553605389077216,0.350529339727407,0.781870144138647,0.41131754453457,0.203269671872707,0.399884596792829,5,FALSE
"68","3_125_12",0.838384922690059,0.264063559122784,0.582602883733373,0.213054804678159,0.0576099232781798,0.328863214742924,0.773543446504916,0.0831093882324129,0.37483786288491,0.439375589111137,5,FALSE
"69","3_125_13",0.855375315595522,0.382101990702895,0.572862705281477,0.220635870788894,0.0571369600455343,0.221841492003674,0.315647856854813,0.162311483873614,0.323105420312313,0.588294088713005,5,FALSE
"70","3_125_14",31.092403332205,0.458155226127691,0.56572766892331,0.278484413544662,0.0584024879897037,0.444270908194458,0.249343474009438,0.344984362470954,0.635229349737421,0.693482828132739,3,FALSE
"71","3_125_4",36.1086235100574,0.26322369649072,0.585121041655576,0.200957845457728,0.0549380906265743,0.700200394006952,0.850061192744902,0.281354339016817,0.0461973076776411,0.271257871127445,4,FALSE
"72","3_125_5",0.788098994132298,0.416327457276004,0.570048119820226,0.243973426047975,0.0584011612356782,0.530959448274554,0.523106560883887,0.516733637817841,0.677865474967092,0.716833659321299,3,FALSE
"73","3_125_8",0.8630198891945,0.314957889735089,0.580091471332085,0.212998141642776,0.0569454247634787,0.348662312463234,0.632406167581382,0.28236860455098,0.303070595795188,0.532917170218797,5,FALSE
"74","3_127_11",0.916708855716222,0.291497831165306,0.577392134819508,0.227743058188847,0.0549076255706532,0.514223617865537,0.673224409017642,0.182505492709801,0.208577713871379,0.415272093542432,5,FALSE
"75","3_127_12",0.959861003219878,0.149049514280521,0.589317749204241,0.194934814529968,0.0549424557026762,0.104363245001761,0.812077905952179,0.182973141788948,0.036749626355496,0.237855336196472,5,TRUE
"76","3_127_13",0.853748793869767,0.383475471588364,0.57248093872443,0.220486817062759,0.0571357441239849,0.22148184435084,0.315631634001778,0.158760945584959,0.348732324618653,0.585598007988062,5,FALSE
"77","3_127_4",27.2470748323054,0.375542411675626,0.575146390028783,0.236100276005422,0.0554090979029424,0.760373758376926,0.472000718610318,0.247681166529045,0.308683842415894,0.413219186734925,4,FALSE
"78","3_128_15",0.777259042333674,0.407112029749462,0.570547786642887,0.2729154378269,0.0586485924056428,0.628448868071454,0.659281618355596,0.535599990911438,0.737380140172098,0.769436091900896,1,FALSE
"79","3_128_4",0.849171987546252,0.347017566323637,0.572907601586262,0.240938948039481,0.0574046817822473,0.223499138884443,0.550138390846819,0.102551351280008,0.316982324716491,0.682744577459461,5,FALSE
"80","3_129_1",0.851594122643849,0.452600580387369,0.570014294430189,0.251202846251555,0.0565416168962781,0.551325186182162,0.172782425037333,0.358677563854547,0.442418941992113,0.549747142991433,3,FALSE
"81","3_129_4",34.9888954999543,0.394133374486539,0.572786603248108,0.244009219651377,0.0559765963494578,0.735783328528931,0.379135470338101,0.259846258259445,0.2763492946443,0.426012185804335,4,FALSE
"82","3_129_5",17.7839738393349,0.27317294481525,0.585868686552208,0.201459510957165,0.0557766612135119,0.291068053507039,0.548980704259712,0.24513560095304,0.186875303404786,0.322347958435555,5,FALSE
"83","3_129_6",0.835576170458173,0.301888519170321,0.587838190369097,0.240826468570956,0.05789405624231,1,1,0.311824433577102,0.331782211428729,0.37063578387217,4,FALSE
"84","3_129_8",0.851308392228597,0.337722352259176,0.581481255440968,0.217193583920813,0.0571504165306307,0.330431652377454,0.545972396237856,0.356983775859378,0.324851168981692,0.536195442353396,5,FALSE
"85","3_130_15",0.777282501080948,0.407975327967261,0.57184314091033,0.270358682882307,0.0585590378997691,0.773418660835453,0.687445083385662,0.559197943071104,0.740323186321555,0.752213983519121,1,TRUE
"86","3_130_4",0.847521183131931,0.349241830915313,0.576656413943793,0.224791278716276,0.0573251919826122,0.460494854781547,0.57210364484103,0.103474506996036,0.311610825175003,0.633817118928275,2,FALSE
"87","3_130_8",0.725536863370917,0.507763382657294,0.568319512829703,0.348183844188393,0.0606433457293648,0.397563741708674,0.304501133033158,0.435848447826692,0.986887314136358,1,1,FALSE
"88","3_130_9",0.809821918893039,0.449934879228741,0.569326017523678,0.270199074239873,0.0576520915663222,0.49621051337564,0.251753192983271,0.293495387537936,0.549566944464569,0.670490433739464,3,FALSE
"89","3_131_10",13.9337083894505,0.320044945706998,0.574347433889496,0.226126766032465,0.0574580718230448,0.363225262909897,0.731407048708482,0.184987313585289,0.419462027851889,0.623848584763589,2,FALSE
"90","3_131_11",0.840489428668195,0.363504632548921,0.569059672559886,0.261723193128806,0.0567203970141294,0.218444957944226,0.486239823328568,0.196236454270992,0.470114745611277,0.618017250956068,5,FALSE
"91","3_131_13",0.839980809828525,0.300623449868055,0.581951413107592,0.212672133012545,0.0573837726424657,0.240231742806035,0.665844926773169,0.188585104078737,0.280341237026998,0.573148669174517,5,FALSE
"92","3_131_3",0.924918663754755,0.266575796667364,0.577975439141273,0.207488793383578,0.0553309832403899,0.2931727719223,0.633644720710779,0.225470336235207,0.149039407210992,0.406375168768207,5,FALSE
"93","3_131_4",31.0249274337652,0.330218755474001,0.574048490600146,0.242752391552108,0.0559613555965034,0.768806005894869,0.721267681770789,0.351010104083883,0.296696966677491,0.437413005018179,4,FALSE
"94","3_133_11",0.833822592559065,0.364216360388095,0.569411407323707,0.269714203552111,0.0569263619515558,0.0406682052877716,0.462499143326922,0.183720937027841,0.478073439528201,0.632691332489683,5,FALSE
"95","3_133_12",0.779161689367298,0.391847902416659,0.570684167682107,0.28155271581913,0.0586625243480153,0.345128118661466,0.623366667090324,0.365149536172255,0.687697520374084,0.757963900179422,3,FALSE
"96","3_133_13",0.840055373092999,0.288374870407312,0.582135220204297,0.213237649064419,0.057558526180049,0.244537681126845,0.764030926350841,0.227286060793823,0.276482929144841,0.592219347042614,5,FALSE
"97","3_133_15",0.799434259690711,0.369076216983219,0.577798636024738,0.230405927741347,0.0578262098640351,0.688819887895572,0.697700650408422,0.245094353332042,0.557525686055082,0.662627947467029,2,FALSE
"98","3_133_2",0.838206974451367,0.408061140418277,0.571707186523214,0.225094945256283,0.0570945998756102,0.543250856715345,0.378536015145103,0.316746652755903,0.480709226049836,0.580222059222245,3,FALSE
"99","3_133_3",0.926749063935184,0.240749855916833,0.578130585519982,0.207118469100027,0.0553721704166208,0.297968685046687,0.764196547405577,0.241829243465091,0.138550860418197,0.405038871589936,5,FALSE
"100","3_134_12",45.2472101515597,0.310757853404911,0.577959672610886,0.217268910651359,0.056229862996401,0,0.334061824020657,0.147976043257976,0.223892596807633,0.430984578056891,5,FALSE
"101","3_134_15",0.77763311631817,0.402580782541841,0.570452292890173,0.273071937145407,0.0586524137319174,0.629032099117551,0.685302557675195,0.536953123482807,0.735876511844432,0.769276504630725,1,FALSE
"102","3_134_4",0.929268513248211,0.246869749036883,0.581723224150359,0.212048601456763,0.0556445917186851,0.138871462037007,0.580454184208547,0.0873583606747536,0.112810786127657,0.415781128859554,5,FALSE
"103","3_84_1",0.933108273513434,0.307760687462251,0.585362518475363,0.209594704554044,0.0551203570997608,0.381930642346002,0.488134498307078,0.241217781500082,0.157627573020623,0.379022550028536,5,FALSE
"104","3_85_4",0.783379632536629,0.462771101092385,0.569718221487451,0.266399812426338,0.0584010642509241,0.722966063992503,0.342457933421959,0.668474535739175,0.666424432311727,0.698852013365974,1,FALSE
"105","3_86_1",0.92389752684117,0.294622680651228,0.58898497062728,0.200828290889326,0.05535167567781,0.351267123532824,0.515368096652555,0.250951841338115,0.179157903881912,0.351931051520095,5,FALSE
"106","3_87_11",0.832123745806209,0.410862576060627,0.569824166652125,0.247658478252047,0.0572351387171271,0.540338936476991,0.407768219563918,0.443726167146954,0.465235307789586,0.62481423772788,3,FALSE
"107","3_87_4",0.78358117191123,0.4613489074658,0.569683900754449,0.266530520770889,0.0584054796533482,0.723365644563841,0.349556896633532,0.669576750880823,0.665651521796331,0.698931835842725,1,FALSE
"108","3_89_11",0.86525978299114,0.386398413001385,0.571287669598779,0.23625692349053,0.0565006356977841,0.476127665771069,0.408832839700418,0.413877121379603,0.35860591900942,0.54499664507021,3,FALSE
"109","3_89_4",0.790284327050332,0.526820207501658,0.567347303524283,0.28688729551262,0.0579828572075006,0.732746666906077,0.015370521242242,0.36613979751013,0.674249915743937,0.650553426746268,3,FALSE
"110","3_91_11",0.918614944234274,0.313812860052331,0.586939346522503,0.212373910554357,0.0551798262544905,0.346217528195232,0.475992120629337,0.37658069033667,0.218284047114673,0.341072281572685,5,FALSE
"111","3_91_4",12.9813564845743,0.463179309347247,0.568358080580084,0.266280196892718,0.0583958651700867,0.722748242105744,0.346044786479004,0.658783689197884,0.710161790495744,0.68721183352014,1,FALSE
"112","3_92_1",0.927910098138927,0.282528024181126,0.589798047273943,0.199216276245945,0.0553178172084548,0.349625525015027,0.490424683866184,0.0307691939409303,0.167216167229432,0.335446349852989,5,FALSE
"113","3_93_11",0.832714157316818,0.410089986011118,0.570234418941444,0.247974882174618,0.0572371907393179,0.540940384698472,0.40774407948025,0.448112332766952,0.442886899296167,0.628163667796378,3,FALSE
"114","3_95_11",0.830279023203172,0.410427082848719,0.570415511177054,0.242143523657564,0.0572500661125883,0.522435176358824,0.407568906708088,0.437341036089685,0.463507330771528,0.632643884274583,3,FALSE
"115","3_96_1",2.5076262959738,0.306499584075811,0.584971819929017,0.205002120856163,0.0555076056354309,0.331432854977072,0.384013785722249,0,0.198199231510675,0.330162145750182,5,FALSE
"116","3_96_4",0.925977259074384,0.387820626117025,0.57322982069525,0.256453252674688,0.0562111723953137,0.443746197137161,0.321402952377237,0.328636437580751,0.0752681822644616,0.553061062310038,5,FALSE
"117","3_98_10",26.735808616607,0.262269284028962,0.581516723801141,0.200390992304809,0.0558436784507755,0.28761337971823,0.51153239802658,0.135404577801714,0.174810085160407,0.269542430138683,5,FALSE
"118","3_98_4",0.909704281250408,0.322144566215681,0.578342799563149,0.216653203249559,0.0561185936919062,0.439040988683468,0.567048815612112,0.314529598915399,0.134801315965433,0.501943953059219,5,FALSE
