"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1259","search_S",462500.433081984,7424185.96861395,0.0256739796916827,47287.8087172863,0.0231891878901804,7424185.96861395,0.0256739796916827,47287.8087172863,0.0231891878901804,TRUE,0.6550904,0.934440822248737,0.778214170708531,0.956493089575662,0.0585590378997691,0.57184314091033,0.270358682882307,0.57184314091033,0.407975327967261,0.777282501080948,56278.577291104,0.000759539,65481090.2533626,1e-04,"3_130_15",3,130,15,1950,5,2429880,15476.9426751592,27572.9349185411,12095.9922433819,68086.1332789939,0.0644012269879381,0.191002069034797,4.3991978718299,3.05537144575615,0.32729244798991,1,TRUE,3.22102108249212,0.0976131038989699,2.45499279430317,3.98865501087364,0.0200697571550073
"1260","newsletter",0,0,0,0,0,0,0,0,0,TRUE,0.6550904,0.934440822248737,0.778214170708531,0.956493089575662,0.0585590378997691,0.57184314091033,0.270358682882307,0.57184314091033,0.407975327967261,0.777282501080948,56278.577291104,0.000759539,65481090.2533626,1e-04,"3_130_15",3,130,15,1950,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA,NA,NA,NA,0
"1261","(Intercept)",194442.372646471,30527452.505496,0.106050756678805,194442.372646471,0.0948170758404942,30527452.505496,0.106050756678805,194442.372646471,0.0948170758404942,TRUE,0.6552917,0.941469476587305,0.773431917674178,0.974374822054544,0.0553309832403899,0.577975439141273,0.207488793383578,0.577975439141273,0.266575796667364,0.924918663754755,14920.4042038748,0.000127871,65481090.2533626,1e-04,"3_131_3",3,131,3,1953,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"1262","trend",0.114657175924629,32081826.4689512,0.111450569681759,204342.843751281,0.0996449006958726,32081826.4689512,0.111450569681759,204342.843751281,0.0996449006958726,TRUE,0.6552917,0.941469476587305,0.773431917674178,0.974374822054544,0.0553309832403899,0.577975439141273,0.207488793383578,0.577975439141273,0.266575796667364,0.924918663754755,14920.4042038748,0.000127871,65481090.2533626,1e-04,"3_131_3",3,131,3,1953,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"1263","season",0.210101247500915,76915.6878280175,0.000267201034647862,489.908839668901,0.00023889712398373,76915.6878280175,0.000267201034647862,489.908839668901,0.00023889712398373,TRUE,0.6552917,0.941469476587305,0.773431917674178,0.974374822054544,0.0553309832403899,0.577975439141273,0.207488793383578,0.577975439141273,0.266575796667364,0.924918663754755,14920.4042038748,0.000127871,65481090.2533626,1e-04,"3_131_3",3,131,3,1953,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"1264","holiday",0.928110071503168,6459194.96448075,0.0224389019488536,258367.79857923,0.125989406625732,6459194.96448075,0.0224389019488536,258367.79857923,0.125989406625732,TRUE,0.6552917,0.941469476587305,0.773431917674178,0.974374822054544,0.0553309832403899,0.577975439141273,0.207488793383578,0.577975439141273,0.266575796667364,0.924918663754755,14920.4042038748,0.000127871,65481090.2533626,1e-04,"3_131_3",3,131,3,1953,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"1265","competitor_sales_B",0.221117310367124,192645566.432993,0.6692405167892,1227041.82441397,0.598349609405618,192645566.432993,0.6692405167892,1227041.82441397,0.598349609405618,TRUE,0.6552917,0.941469476587305,0.773431917674178,0.974374822054544,0.0553309832403899,0.577975439141273,0.207488793383578,0.577975439141273,0.266575796667364,0.924918663754755,14920.4042038748,0.000127871,65481090.2533626,1e-04,"3_131_3",3,131,3,1953,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"1266","events",0,0,0,0,0,0,0,0,0,TRUE,0.6552917,0.941469476587305,0.773431917674178,0.974374822054544,0.0553309832403899,0.577975439141273,0.207488793383578,0.577975439141273,0.266575796667364,0.924918663754755,14920.4042038748,0.000127871,65481090.2533626,1e-04,"3_131_3",3,131,3,1953,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"1267","tv_S",287726.205921078,7093746.27048407,0.0246432996509239,45183.0972642297,0.0220328990111644,7093746.27048407,0.0246432996509239,45183.0972642297,0.0220328990111644,TRUE,0.6552917,0.941469476587305,0.773431917674178,0.974374822054544,0.0553309832403899,0.577975439141273,0.207488793383578,0.577975439141273,0.266575796667364,0.924918663754755,14920.4042038748,0.000127871,65481090.2533626,1e-04,"3_131_3",3,131,3,1953,1,7774236.44,49517.4295541401,111995.991294887,62478.5617407473,10644.8485934972,0.206047362680601,0.272145120939958,0.214971752155645,0.912468552407967,1.09592818005732,5,FALSE,0.932520638947653,0.016558566149248,0.717984249396101,1.14655957649713,0.568598050789797
"1268","ooh_S",260667.505406037,10965834.2602075,0.038094728693788,69846.0780904936,0.0340594531599777,10965834.2602075,0.038094728693788,69846.0780904936,0.0340594531599777,TRUE,0.6552917,0.941469476587305,0.773431917674178,0.974374822054544,0.0553309832403899,0.577975439141273,0.207488793383578,0.577975439141273,0.266575796667364,0.924918663754755,14920.4042038748,0.000127871,65481090.2533626,1e-04,"3_131_3",3,131,3,1953,1,24719081.6,157446.379617834,161466.975985041,4020.59636720645,73037.3720706998,0.655151359349006,0.420694253383277,0.463887275452008,0.443618190904289,2.25419069935243,5,FALSE,0.413442746369715,0.00786976179629413,0.311253664662659,0.514941937285654,0.672255976927443
"1269","print_S",190481.04495345,2721943.94018814,0.00945588939798598,17337.2225489691,0.00845425162692263,2721943.94018814,0.00945588939798598,17337.2225489691,0.00845425162692263,TRUE,0.6552917,0.941469476587305,0.773431917674178,0.974374822054544,0.0553309832403899,0.577975439141273,0.207488793383578,0.577975439141273,0.266575796667364,0.924918663754755,14920.4042038748,0.000127871,65481090.2533626,1e-04,"3_131_3",3,131,3,1953,1,1804904.93333333,11496.2097664544,17905.8413845894,6409.63161813504,7542.83934539115,0.0478369682055284,0.10442490251963,0.656115319624818,1.50808161134626,0.663094087532374,5,FALSE,1.47481867508604,0.0388909073301893,0.971138411155049,1.97772818348558,0.166516232044544
"1270","facebook_S",51035.0993486233,1269990.532493,0.0044118799929851,8089.11167192991,0.00394454101974015,1269990.532493,0.0044118799929851,8089.11167192991,0.00394454101974015,TRUE,0.6552917,0.941469476587305,0.773431917674178,0.974374822054544,0.0553309832403899,0.577975439141273,0.207488793383578,0.577975439141273,0.266575796667364,0.924918663754755,14920.4042038748,0.000127871,65481090.2533626,1e-04,"3_131_3",3,131,3,1953,1,1002234.0659765,6383.65647118789,6562.09816030064,178.441689112744,7343.53008214608,0.0265630827769259,0.0487220311918942,1.15036423330273,1.26715961431187,0.789166564894866,5,FALSE,1.76231025230402,0.106458959146751,0.387432304626187,3.14284499120266,0.248637544580487
"1271","search_S",129563.447433364,4014527.43010207,0.013946256131051,25570.2384082935,0.0124689654904943,4014527.43010207,0.013946256131051,25570.2384082935,0.0124689654904943,TRUE,0.6552917,0.941469476587305,0.773431917674178,0.974374822054544,0.0553309832403899,0.577975439141273,0.207488793383578,0.577975439141273,0.266575796667364,0.924918663754755,14920.4042038748,0.000127871,65481090.2533626,1e-04,"3_131_3",3,131,3,1953,1,2429880,15476.9426751592,30880.0385198132,15403.0958446539,48250.3110792511,0.0644012269879381,0.154013691965241,3.11756088343557,1.65215048895504,0.605271739278717,5,FALSE,1.81096167004549,0.0686831858801092,0.924051091970682,2.70173634500482,0.0309690714976691
"1272","newsletter",0,0,0,0,0,0,0,0,0,TRUE,0.6552917,0.941469476587305,0.773431917674178,0.974374822054544,0.0553309832403899,0.577975439141273,0.207488793383578,0.577975439141273,0.266575796667364,0.924918663754755,14920.4042038748,0.000127871,65481090.2533626,1e-04,"3_131_3",3,131,3,1953,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,0
"1273","(Intercept)",256883.86951782,40330767.5142977,0.139763825346622,256883.86951782,0.125197081295644,40330767.5142977,0.139763825346622,256883.86951782,0.125197081295644,TRUE,0.6593831,0.940128231756199,0.771866522072824,0.968717656923601,0.0559613555965034,0.574048490600146,0.242752391552108,0.574048490600146,0.330218755474001,31.0249274337652,20212.0566999801,0.000208691,65481090.2533626,1e-04,"3_131_4",3,131,4,1954,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
